Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:sys_core_fold.opt_not_in_let_1/3                                    4       0.004       0.004     
:sys_core_fold.copy_type/3                                           4       0.004       0.004     
:sofs.check_for_sort/2                                               2       0.004       0.004     
:sets.maybe_contract/2                                               1       0.004       0.003     
:proc_lib.ensure_link/1                                              1       0.004       0.002     
:proc_lib.check_for_monitor/1                                        1       0.004       0.002     
:otp_internal.obsolete/3                                             1       0.004       0.002     
:io_lib_format.strings/2                                             4       0.004       0.004     
:io_lib_format.precision/2                                           4       0.004       0.004     
:io_lib_format.field_value/2                                         4       0.004       0.004     
:io_lib_format.encoding/2                                            4       0.004       0.004     
:io_lib_format.decr_pc/2                                             4       0.004       0.004     
:io_lib_format.collect_cc/2                                          4       0.004       0.004     
:gen_server.try_dispatch/4                                           1       0.004       0.003     
:gen_server.reply/2                                                  2       0.004       0.004     
:gen.timeout/1                                                       1       0.004       0.003     
:gen.spawn_opts/1                                                    1       0.004       0.003     
:filename.unix_pathtype/1                                            4       0.004       0.004     
:filename.skip_prefix/2                                              4       0.004       0.004     
:erlang.tuple_to_list/1                                              4       0.004       0.004     
:erlang.binary_to_term/1                                             1       0.004       0.004     
:erl_lint.function_check_max_args/3                                  3       0.004       0.004     
:erl_lint.format_function/5                                          1       0.004       0.003     
:erl_lint.expr_var/4                                                 1       0.004       0.003     
:erl_internal.bif/2                                                  3       0.004       0.004     
:elixir_module.defs_table/1                                          1       0.004       0.003     
:beam_validator.min/2                                                3       0.004       0.004     
:beam_validator.merge_y_regs_1/3                                     3       0.004       0.004     
:beam_utils.is_pure_test/1                                           2       0.004       0.003     
:beam_lib.symbols1/5                                                 1       0.004       0.003     
:beam_except.dig_out_fc/3                                            2       0.004       0.004     
:beam_dict."-line_table/1-lc$^1/1-1-"/1                              3       0.004       0.004     
:beam_dead.shortcut_bs_test_1/4                                      3       0.004       0.004     
:beam_asm."-build_line_table/1-lbc$^1/2-1-"/2                        3       0.004       0.004     
:v3_kernel.sub_size_var/2                                            3       0.003       0.003     
:v3_kernel.select_bin_con_2/1                                        2       0.003       0.003     
:v3_kernel.pat_vars/1                                                3       0.003       0.003     
:v3_kernel.literal/2                                                 3       0.003       0.003     
:v3_kernel."-group_value/2-anonymous-1-"/3                           3       0.003       0.003     
:v3_codegen.fetch_reg/2                                              2       0.003       0.003     
:sofs.relprod1/2                                                     2       0.003       0.003     
:proc_lib.init_ack/2                                                 1       0.003       0.003     
:io_lib_format.uniconv/1                                             3       0.003       0.003     
:io_lib_format.string/5                                              3       0.003       0.003     
:gen_server.cast_msg/1                                               2       0.003       0.003     
:ets.member/2                                                        2       0.003       0.003     
:erts_internal.port_command/3                                        1       0.003       0.003     
:erlang.unlink/1                                                     1       0.003       0.003     
:erl_lint.pattern_list/5                                             1       0.003       0.002     
anonymous fn/3 in :erl_lint.expr/3                                   1       0.003       0.002     
:erl_lint."-check_unused_records/2-lc$^1/1-1-"/3                     2       0.003       0.003     
:erl_lint."-check_undefined_types/1-lc$^0/1-0-"/3                    2       0.003       0.003     
:erl_lint."-behaviour_check/2-lc$^1/1-1-"/2                          2       0.003       0.003     
:erl_internal.new_type_test/2                                        2       0.003       0.003     
:erl_eval.new_bindings/0                                             1       0.003       0.002     
:elixir_utils.meta_location/1                                        1       0.003       0.002     
:elixir_utils.get_line/1                                             1       0.003       0.002     
:elixir_module.put_compiler_modules/1                                2       0.003       0.003     
:elixir_module.export_types_attributes/2                             1       0.003       0.002     
:elixir_def.split_definition/8                                       1       0.003       0.002     
:elixir_compiler.no_auto_import/0                                    2       0.003       0.003     
:compile.werror/1                                                    2       0.003       0.003     
:compile.foldl_core_transforms/2                                     2       0.003       0.003     
:compile.asm_passes/0                                                2       0.003       0.003     
:compile."-messages_per_file/1-lc$^0/1-0-"/1                         2       0.003       0.003     
:cerl.var_name/1                                                     2       0.003       0.003     
:beam_peep.is_test_redundant_1/3                                     2       0.003       0.003     
Path.relative_to/3                                                   3       0.003       0.003     
:zlib.reverse/2                                                      2       0.002       0.002     
:v3_life.type/1                                                      2       0.002       0.002     
:v3_kernel.is_in_guard/1                                             2       0.002       0.002     
:v3_kernel.flatten_seq/1                                             2       0.002       0.002     
:v3_codegen."-save_carefully/4-lc$^1/1-1-"/1                         2       0.002       0.002     
:v3_codegen."-max_reg/1-anonymous-0-"/2                              2       0.002       0.002     
:sys_pre_expand.module_predef_funcs_mod_info/1                       2       0.002       0.002     
:sys_core_fold."-expr/3-lc$^0/1-0-"/3                                1       0.002       0.002     
:sofs.from_external/2                                                2       0.002       0.002     
:proc_lib.trans_init/3                                               1       0.002       0.002     
:otp_internal.obsolete_1/3                                           1       0.002       0.002     
:lists.sort/2                                                        2       0.002       0.002     
:lists.keymergel/4                                                   2       0.002       0.002     
:lists.droplast/1                                                    2       0.002       0.002     
:gen.name/1                                                          1       0.002       0.002     
:erlang.process_info/2                                               1       0.002       0.002     
:erlang.make_fun/3                                                   1       0.002       0.002     
:erl_lint.merge_used/2                                               2       0.002       0.002     
:erl_lint.elemtype_check/4                                           1       0.002       0.002     
:erl_lint.check_on_load/1                                            2       0.002       0.002     
:erl_lint.behaviour_missing_callbacks/2                              2       0.002       0.002     
:erl_lint.behaviour_add_conflicts/2                                  2       0.002       0.002     
anonymous fn/2 in :erl_lint.unused_vars/3                            1       0.002       0.002     
:erl_lint."-not_deprecated/2-lc$^4/1-4-"/1                           2       0.002       0.002     
:erl_lint."-not_deprecated/2-lc$^3/1-3-"/1                           2       0.002       0.002     
:erl_lint."-check_unused_functions/2-lc$^1/1-1-"/2                   2       0.002       0.002     
:elixir_module.types_attributes/2                                    1       0.002       0.001     
:elixir_module."-optional_callbacks_attributes/2-lc$^0/1-0-"         1       0.002       0.002     
:elixir_exp.expand/2                                                 1       0.002       0.002     
:elixir_env.env_to_scope/1                                           1       0.002       0.002     
:elixir_def_overridable."-store_pending/1-lc$^0/1-0-"/2              2       0.002       0.002     
:elixir_compiler_2.__MODULE__/1                                      1       0.002       0.002     
:elixir_compiler."-code_mod/6-lc$^0/1-0-"/2                          1       0.002       0.002     
:digraph.set_type/2                                                  1       0.002       0.002     
:digraph.collect_elems/4                                             2       0.002       0.002     
:dict.find_key/2                                                     1       0.002       0.002     
:compile.add_default_base/2                                          2       0.002       0.002     
:cerl.make_lit_list/1                                                2       0.002       0.002     
:cerl.let_arg/1                                                      2       0.002       0.002     
:cerl.ann_c_cons/3                                                   1       0.002       0.002     
:beam_opcodes.format_number/0                                        2       0.002       0.002     
:beam_lib.beam_filename/1                                            2       0.002       0.002     
:beam_dict.string_table/1                                            2       0.002       0.002     
:beam_dict.local_table/1                                             2       0.002       0.002     
:beam_dict.highest_opcode/1                                          2       0.002       0.002     
:beam_dict.export_table/1                                            2       0.002       0.002     
:beam_dict."-lambda_table/1-lc$^1/1-1-"/1                            2       0.002       0.002     
:beam_dict."-lambda_table/1-lc$^0/1-0-"/1                            2       0.002       0.002     
:beam_dead.useful_to_insert_label/1                                  2       0.002       0.002     
:beam_block.opt_alloc/4                                              1       0.002       0.002     
Kernel.LexicalTracker.to_pid/1                                       2       0.002       0.002     
Inspect.Atom.only_elixir?/1                                          2       0.002       0.002     
:zlib.arg_level/1                                                    1       0.001       0.001     
:zlib.arg_flush/1                                                    1       0.001       0.001     
:v3_kernel.ensure_return_vars/2                                      1       0.001       0.001     
:v3_codegen.reserve_x0/2                                             1       0.001       0.001     
:proc_lib.get_ancestors/0                                            1       0.001       0.001     
:proc_lib.crash_report/3                                             1       0.001       0.001     
:erlang.iolist_size/1                                                1       0.001       0.001     
:erlang.atom_to_binary/2                                             1       0.001       0.001     
:erl_lint.is_format_function/2                                       1       0.001       0.001     
:erl_lint.check_qlc_hrl/5                                            1       0.001       0.001     
:erl_lint.bit_size/4                                                 1       0.001       0.001     
:erl_lint.add_bit_size/5                                             1       0.001       0.001     
:erl_anno.record/1                                                   1       0.001       0.001     
:elixir_module.info_clause/1                                         1       0.001       0.001     
:elixir_module.compiler_modules/0                                    1       0.001       0.001     
:elixir_module."-types_form/4-lc$^0/1-0-"/1                          1       0.001       0.001     
:elixir_module."-specs_form/5-lc$^0/1-0-"/1                          1       0.001       0.001     
:elixir_module."-optional_callbacks_attributes/2-lc$^1/1-1-"         1       0.001       0.001     
:elixir_locals."-warn_unused_local/3-lc$^1/1-1-"/3                   1       0.001       0.001     
:elixir_locals."-warn_unused_local/3-lc$^0/1-0-"/1                   1       0.001       0.001     
:elixir_locals."-ensure_no_import_conflict/4-lc$^0/1-0-"/3           1       0.001       0.001     
:elixir_env.linify/1                                                 1       0.001       0.001     
:elixir_def.unwrap_definition/6                                      1       0.001       0.001     
:elixir_compiler.code_fun/1                                          1       0.001       0.001     
:elixir_compiler."-code_loading_compilation/3-lc$^1/1-1-"/1          1       0.001       0.001     
:elixir_compiler."-code_loading_compilation/3-lc$^0/1-0-"/1          1       0.001       0.001     
:beam_lib.chunk_name_to_id/2                                         1       0.001       0.001     
:beam_dead.combine_eqs/4                                             1       0.001       0.001     
:beam_asm."-build_line_table/1-lc$^0/1-0-"/1                         1       0.001       0.001     
Module.LocalsTracker.to_pid/1                                        1       0.001       0.001     
Module.LocalsTracker.handle_cast/2                                   1       0.001       0.001     
:undefined                                                           0       0.000       0.000     
