Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:sys_core_fold."-case_opt/3-lc$^1/1-1-"/1                           23       0.476       0.193     
:gb_sets.to_list/1                                                  25       0.475       0.049     
:beam_validator.branch_state/2                                       5       0.475       0.064     
:v3_core.uexprs/3                                                   32       0.473       0.108     
:sofs.relation/2                                                    13       0.470       0.076     
:gb_sets.from_list/1                                                29       0.469       0.105     
:gb_trees.insert/3                                                  64       0.464       0.207     
:beam_block.opt_block/1                                              9       0.464       0.026     
:v3_core.cexpr/3                                                    23       0.463       0.042     
:elixir_module.add_beam_chunk/3                                      1       0.462       0.003     
:beam_lib.scan_beam2/2                                               3       0.462       0.008     
:erl_lint.check_option_functions/4                                   6       0.460       0.086     
:sys_core_dsetel.module/2                                            2       0.458       0.006     
:cerl_sets.from_list/1                                              38       0.455       0.150     
:v3_kernel.umatch/3                                                 14       0.453       0.067     
:sys_core_dsetel.visit_module/1                                      2       0.452       0.008     
:v3_core.cfun/3                                                      7       0.451       0.080     
:beam_lib.scan_beam/5                                               30       0.450       0.128     
:beam_bsm."-module/2-lc$^0/1-0-"/2                                   9       0.448       0.027     
:sys_pre_expand.function/5                                           3       0.447       0.014     
:gb_trees.balance_list_1/2                                         196       0.444       0.444     
:sys_core_dsetel.visit_module_1/3                                    9       0.442       0.025     
:beam_z.module/2                                                     2       0.439       0.009     
:v3_codegen.return_cg/5                                              4       0.435       0.024     
:sys_core_fold.clause_1/5                                           10       0.433       0.053     
:beam_clean.bs_clean_saves/1                                         7       0.433       0.045     
:sys_pre_expand.clauses/2                                            8       0.430       0.038     
:beam_z."-module/2-lc$^0/1-0-"/1                                     9       0.430       0.056     
:beam_lib.get_data/8                                                27       0.430       0.099     
:beam_clean.function_renumber/3                                     27       0.424       0.069     
:beam_lib.chunks/2                                                   1       0.423       0.003     
:beam_receive.module/2                                               2       0.422       0.005     
:gb_sets.to_list/2                                                 193       0.421       0.408     
:erl_anno.set_file/2                                                19       0.421       0.028     
:beam_bsm.function/2                                                 7       0.421       0.038     
:sets.fold/3                                                         6       0.420       0.006     
:beam_lib.read_chunk_data/2                                          1       0.420       0.004     
:beam_receive."-module/2-lc$^0/1-0-"/1                               9       0.417       0.028     
:beam_lib.read_chunk_data/3                                          1       0.416       0.015     
:v3_codegen.adjust_stack/4                                          17       0.414       0.103     
:sets.fold_set/3                                                     6       0.414       0.012     
:beam_jump.ulbl/2                                                  309       0.414       0.347     
:sys_core_dsetel.visit/2                                            53       0.409       0.181     
:io_lib.format/2                                                     2       0.405       0.005     
:erl_lint.nowarn/0                                                   9       0.404       0.041     
:elixir_module.build/5                                               1       0.403       0.024     
:sets.fold_segs/4                                                   12       0.402       0.027     
:io_lib_format.fwrite/2                                              2       0.400       0.005     
:v3_kernel.atomic_list/3                                             6       0.395       0.013     
:filename.absname/2                                                  2       0.392       0.009     
:erl_bits.set_bit/1                                                 13       0.391       0.030     
:ordsets.union/2                                                   321       0.390       0.390     
:beam_receive.function/1                                             7       0.389       0.027     
:erl_anno.set_anno/3                                                28       0.385       0.137     
:ordsets.from_list/1                                                64       0.384       0.116     
:lists.usort/1                                                      95       0.382       0.121     
:beam_utils.index_label/3                                           25       0.376       0.044     
:sets.fold_seg/4                                                   102       0.375       0.276     
:dict.fold/3                                                        20       0.374       0.036     
:beam_z.function/1                                                   7       0.374       0.022     
:beam_lib.all_chunks/1                                               1       0.367       0.001     
:beam_lib.read_all_chunks/1                                          1       0.366       0.007     
:filename.absname_join/2                                             2       0.365       0.005     
:v3_core.attribute/1                                                 1       0.358       0.003     
:ordsets.union/1                                                    37       0.357       0.121     
:beam_clean.renumber_labels/3                                      204       0.355       0.334     
:sys_pre_expand.exprs/2                                             10       0.354       0.026     
:erl_bits.set_bit_1/2                                               24       0.354       0.100     
