Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:erl_lint.check_type/3                                              31       0.427       0.054     
:elixir_module.add_docs_chunk/4                                      1       0.427       0.006     
:beam_dead.backward/3                                               73       0.422       0.105     
:v3_life.match/5                                                    14       0.414       0.057     
:v3_codegen."-select_cg/6-anonymous-0-"/5                            3       0.412       0.009     
:v3_kernel.ubody/3                                                  17       0.411       0.046     
:elixir_utils.relative_to_cwd/1                                      3       0.402       0.006     
:beam_lib.scan_beam/3                                                3       0.401       0.006     
:erl_bits.set_bit_type/2                                            20       0.400       0.046     
:beam_reorder.module/2                                               2       0.399       0.004     
:eval_bits.expr_grp/3                                                1       0.398       0.001     
:eval_bits.expr_grp/4                                                7       0.397       0.013     
:beam_reorder."-module/2-lc$^0/1-0-"/1                               9       0.395       0.023     
:beam_lib.scan_beam1/2                                               3       0.395       0.011     
:elixir_module.add_beam_chunk/3                                      1       0.393       0.004     
:v3_codegen.select_val/5                                             3       0.392       0.006     
anonymous fn/2 in :erl_lint.clauses/2                                5       0.388       0.010     
:eval_bits.eval_field/3                                              6       0.384       0.030     
:lists.map/2                                                        80       0.381       0.229     
anonymous fn/2 in :erl_lint.check_type/3                            22       0.381       0.022     
:beam_lib.scan_beam2/2                                               3       0.381       0.008     
:beam_clean.replace/3                                              204       0.381       0.228     
:sys_pre_expand.module_predef_funcs/1                                2       0.380       0.010     
:erl_anno.set/3                                                     28       0.380       0.057     
:erl_lint.clause/2                                                   5       0.378       0.040     
:v3_kernel.uexpr/3                                                   9       0.375       0.038     
Path.relative_to_cwd/1                                               3       0.373       0.010     
:beam_reorder.function/1                                             7       0.372       0.021     
:beam_bool.module/2                                                  2       0.371       0.004     
:beam_lib.scan_beam/5                                               30       0.369       0.097     
:beam_utils.delete_live_annos/1                                    199       0.367       0.367     
:beam_jump.skip_unreachable/3                                       20       0.367       0.031     
:beam_clean.function_renumber/3                                     27       0.365       0.049     
:sys_pre_expand."-module_predef_funcs/1-lc$^0/1-0-"/1                6       0.364       0.014     
:beam_jump.ulbl/2                                                  309       0.362       0.313     
:v3_codegen.cg_call_args/4                                          10       0.361       0.090     
:erl_lint.reached_functions/2                                        2       0.359       0.004     
:v3_core.safe/2                                                     18       0.357       0.072     
:v3_codegen.clear_dead/3                                            31       0.357       0.093     
:sys_pre_expand.forms/2                                             14       0.357       0.029     
:sets.fold/3                                                         6       0.355       0.007     
:erl_lint.reached_functions/4                                       17       0.353       0.051     
:erl_lint.function_state/2                                           3       0.353       0.003     
:beam_bsm."-module/2-lc$^0/1-0-"/2                                   9       0.353       0.024     
:sys_core_fold.let_substs/3                                         10       0.352       0.060     
:cerl_sets.from_list/1                                              38       0.352       0.115     
:erl_parse.new_anno/1                                                4       0.350       0.008     
:erl_lint.function/5                                                 3       0.350       0.009     
:v3_kernel."-match_con_1/4-anonymous-0-"/3                           2       0.349       0.004     
:sets.fold_set/3                                                     6       0.348       0.008     
:compile.select_list_passes_1/3                                    110       0.348       0.266     
:v3_kernel.match_value/5                                             2       0.345       0.004     
:v3_codegen.cg_basic_block/7                                         1       0.344       0.007     
:beam_bool."-module/2-anonymous-0-"/2                                7       0.344       0.007     
:beam_lib.get_data/8                                                27       0.343       0.081     
:sets.fold_segs/4                                                   12       0.340       0.020     
:ordsets.union/2                                                   321       0.340       0.340     
:gb_trees.balance_list_1/2                                         196       0.340       0.340     
:beam_receive.module/2                                               2       0.340       0.005     
:v3_core.uexprs/3                                                   32       0.338       0.081     
:beam_bool.function/2                                                7       0.337       0.022     
:gb_trees.enter/3                                                   38       0.336       0.076     
:beam_receive."-module/2-lc$^0/1-0-"/1                               9       0.335       0.024     
:beam_a.rename_instrs/1                                             91       0.335       0.254     
:v3_core.cbody/2                                                     7       0.334       0.014     
:io_lib.format/2                                                     2       0.333       0.004     
Module.LocalsTracker.collect_warnings/2                              1       0.332       0.003     
:sys_core_fold."-case_opt/3-lc$^1/1-1-"/1                           23       0.329       0.135     
:io_lib_format.fwrite/2                                              2       0.329       0.004     
:beam_bsm.function/2                                                 7       0.329       0.032     
Module.LocalsTracker.reachable_from/2                                1       0.328       0.003     
:gb_sets.from_list/1                                                29       0.327       0.061     
:eval_bits.make_bit_type/3                                           6       0.324       0.018     
:dict.fold/3                                                        20       0.322       0.023     
:beam_lib.chunks/2                                                   1       0.322       0.002     
:beam_block.blockify/2                                              71       0.322       0.145     
:v3_core.cexpr/3                                                    23       0.320       0.027     
:sets.fold_seg/4                                                   102       0.320       0.224     
:beam_lib.read_chunk_data/2                                          1       0.320       0.004     
:sofs.relation/2                                                    13       0.319       0.055     
:gb_sets.to_list/1                                                  25       0.317       0.026     
:beam_lib.read_chunk_data/3                                          1       0.316       0.010     
:beam_clean.renumber_labels/3                                      204       0.316       0.294     
:v3_core.cfun/3                                                      7       0.313       0.049     
:sys_core_dsetel.module/2                                            2       0.312       0.004     
:elixir_errors.format_error/2                                        1       0.312       0.013     
:beam_receive.function/1                                             7       0.311       0.023     
